carat,cut,color,clarity,depth_percentage,table,length,width,depth,price
2.7,Very Good,H,SI2,63.1,56.0,8.84,8.78,5.56,14341
0.3,Premium,H,SI1,62.6,58.0,4.28,4.22,2.66,540
0.3,Ideal,J,VS2,61.9,56.0,4.33,4.3,2.67,630
0.3,Premium,J,VS2,62.2,58.0,4.28,4.3,2.67,368
1.52,Very Good,G,SI1,62.4,60.0,7.25,7.34,4.55,11014
0.3,Ideal,H,VVS2,61.7,54.0,4.34,4.31,2.67,776
0.7,Ideal,G,VVS1,60.7,57.0,5.73,5.76,3.49,3303
0.94,Very Good,E,SI1,62.4,56.0,6.24,6.27,3.9,4661
0.5,Ideal,E,VS2,60.4,56.0,5.15,5.21,3.13,1892
0.38,Ideal,E,SI1,59.4,61.0,4.72,4.74,2.81,660
1.0,Ideal,H,SI2,61.4,60.0,6.35,6.41,3.92,4713
1.18,Ideal,E,I1,61.6,56.0,6.82,6.79,4.19,4229
0.52,Good,E,VS2,64.3,56.0,5.02,5.14,3.27,1625
0.73,Premium,F,SI1,61.9,60.0,5.78,5.81,3.59,2504
1.24,Ideal,G,VS2,62.0,56.0,6.87,6.9,4.27,8797
0.43,Ideal,G,VVS2,61.9,55.0,4.86,4.84,3.0,1129
1.06,Very Good,F,SI2,60.0,59.0,6.6,6.63,3.97,4224
1.04,Ideal,F,SI1,61.4,56.0,6.52,6.58,4.02,5663
1.63,Ideal,E,SI2,61.7,57.0,7.5,7.54,4.64,10357
0.39,Very Good,J,VVS1,62.8,58.0,4.61,4.66,2.91,718
0.33,Ideal,G,VS1,61.1,56.0,4.46,4.48,2.73,666
0.38,Ideal,F,VVS1,62.1,55.0,4.66,4.71,2.91,1096
1.52,Premium,H,VS2,61.1,61.0,7.4,7.36,4.51,8825
0.73,Ideal,I,VS2,62.2,54.0,5.76,5.78,3.59,2335
1.0,Good,G,SI1,62.2,62.0,6.34,6.39,3.96,4416
0.91,Good,F,SI1,63.7,58.0,6.09,6.02,3.86,3924
0.57,Ideal,D,SI2,61.4,56.0,5.33,5.38,3.29,1413
0.34,Premium,E,VVS1,61.7,58.0,4.48,4.43,2.75,1084
0.41,Premium,D,VS2,62.6,59.0,4.74,4.75,2.97,792
0.98,Premium,H,VS2,59.9,60.0,6.45,6.38,3.84,4623
0.32,Very Good,I,VS2,62.8,58.0,4.33,4.37,2.73,449
0.41,Good,E,VS2,63.1,64.0,4.63,4.66,2.93,910
1.27,Premium,G,VS1,61.1,60.0,6.99,7.03,4.28,9371
0.4,Good,G,VVS2,61.4,64.0,4.65,4.7,2.87,974
1.4,Ideal,H,SI2,61.2,56.0,7.23,7.18,4.41,7213
0.81,Very Good,I,VS1,62.7,58.0,5.9,5.96,3.72,2950
0.3,Very Good,G,VS1,63.1,58.0,4.28,4.24,2.69,776
0.82,Ideal,D,SI2,62.1,57.0,6.04,6.0,3.74,3357
0.3,Premium,E,SI2,61.9,58.0,4.31,4.28,2.66,540
2.07,Very Good,H,SI1,62.1,59.0,8.15,8.2,5.08,17893
0.73,Ideal,F,VS1,61.4,55.0,5.81,5.84,3.57,3493
0.5,Ideal,G,SI2,60.0,57.0,5.17,5.2,3.11,1038
0.31,Ideal,G,VVS1,61.9,55.0,4.38,4.41,2.72,789
1.52,Very Good,J,SI1,59.9,57.0,7.45,7.47,4.47,7759
0.41,Good,F,SI1,63.3,58.0,4.71,4.74,2.99,705
1.52,Very Good,I,SI1,63.7,58.0,7.23,7.3,4.63,8794
1.01,Ideal,G,VVS2,62.0,58.0,6.36,6.39,3.95,7597
2.23,Very Good,G,I1,63.5,57.0,8.24,8.2,5.22,7006
0.34,Premium,H,VS2,61.9,56.0,4.49,4.46,2.77,689
0.9,Premium,D,SI1,62.2,60.0,6.14,6.08,3.8,4612
0.38,Ideal,E,SI1,62.1,55.0,4.64,4.67,2.89,660
1.02,Premium,G,SI1,61.0,59.0,6.48,6.44,3.94,4718
1.0,Fair,E,SI2,67.0,53.0,6.19,6.13,4.13,3136
0.42,Ideal,G,VS2,61.2,56.0,4.84,4.8,2.95,1087
0.31,Very Good,G,VVS1,59.6,59.0,4.4,4.42,2.63,642
0.37,Ideal,D,VVS2,62.4,56.0,4.56,4.64,2.87,857
1.21,Very Good,F,VS1,62.3,58.0,6.76,6.85,4.24,10009
2.01,Ideal,E,SI2,62.1,57.0,8.0,7.88,4.93,13387
0.42,Very Good,D,VVS2,62.8,59.0,4.73,4.76,2.98,1185
0.75,Ideal,I,VS1,61.9,54.1,5.82,5.85,3.61,2564
0.42,Ideal,E,VS1,61.6,57.0,4.8,4.84,2.97,1105
0.31,Ideal,D,VS2,59.0,57.0,4.44,4.48,2.63,734
1.02,Very Good,D,SI2,62.7,59.0,6.36,6.44,4.01,4712
2.01,Very Good,I,SI1,61.7,60.0,7.99,8.12,4.97,13464
1.03,Ideal,G,VS1,62.3,56.0,6.5,6.46,4.04,6864
1.17,Ideal,G,VS2,62.0,56.0,6.71,6.74,4.17,7413
1.22,Ideal,H,SI1,61.8,57.0,6.83,6.85,4.23,6654
0.43,Ideal,H,SI1,62.5,57.0,4.84,4.79,3.01,919
1.51,Ideal,I,SI2,61.8,57.0,7.43,7.36,4.57,7577
1.09,Ideal,D,SI1,61.3,55.9,6.61,6.65,4.06,6532
0.57,Ideal,F,VVS2,60.6,56.0,5.35,5.38,3.25,2722
0.51,Very Good,F,SI2,62.7,56.0,5.07,5.1,3.19,1100
0.43,Ideal,H,VS1,61.2,55.0,4.87,4.9,2.99,1329
0.78,Ideal,D,VS2,62.9,56.0,5.85,5.88,3.69,3736
0.31,Good,G,VVS1,58.0,62.0,4.42,4.47,2.58,761
1.74,Ideal,H,SI1,61.9,55.0,7.71,7.74,4.78,12605
1.07,Very Good,F,SI2,59.4,60.0,6.68,6.75,3.99,4552
1.51,Fair,H,SI1,66.5,56.0,7.03,6.99,4.66,8010
0.7,Very Good,E,VS2,61.4,57.0,5.7,5.73,3.51,2553
0.36,Premium,G,SI2,59.3,59.0,4.66,4.62,2.75,608
0.7,Very Good,E,SI1,63.2,57.0,5.63,5.61,3.55,2518
0.9,Premium,G,SI1,62.2,60.0,6.14,6.07,3.8,3984
2.18,Ideal,I,SI2,61.4,60.0,8.37,8.31,5.12,14870
0.72,Premium,G,SI1,61.2,62.0,5.75,5.72,3.51,2212
0.51,Premium,H,VS1,60.3,58.0,5.16,5.19,3.12,1381
0.71,Very Good,D,VS2,60.3,62.0,5.69,5.76,3.45,3131
0.35,Fair,G,VS2,65.9,54.0,5.57,5.53,3.66,1415
0.94,Ideal,E,SI2,61.6,57.0,6.29,6.31,3.88,4972
0.74,Very Good,I,VS2,60.9,56.0,5.83,5.86,3.56,2459
0.51,Premium,F,VS2,62.4,58.0,5.13,5.1,3.19,1574
0.58,Ideal,D,SI1,61.1,57.0,5.41,5.36,3.29,1829
0.92,Premium,G,VS2,61.6,62.0,6.3,6.24,3.86,4287
1.05,Ideal,J,VS1,62.8,57.0,6.45,6.41,4.04,4116
0.28,Very Good,G,VVS1,61.9,55.0,4.18,4.2,2.6,586
0.31,Ideal,H,VS2,62.2,55.0,4.39,4.35,2.72,628
1.01,Very Good,F,SI1,59.8,59.0,6.39,6.43,3.83,4890
0.52,Premium,D,SI1,60.7,58.0,5.23,5.18,3.16,1376
1.13,Premium,G,VS1,61.6,58.0,6.76,6.68,4.14,7720
1.5,Very Good,F,VS2,61.3,61.0,7.33,7.36,4.5,14242
0.37,Ideal,E,VS1,61.2,56.0,4.64,4.67,2.85,876
0.57,Premium,E,VVS2,60.0,61.0,5.44,5.36,3.24,2507
0.31,Ideal,E,SI1,61.1,55.0,4.36,4.41,2.68,516
1.1,Ideal,F,VS2,61.4,56.0,6.68,6.64,4.09,7589
0.38,Ideal,F,VS1,62.4,54.0,4.68,4.64,2.91,998
0.72,Ideal,F,VS2,61.9,54.0,5.77,5.74,3.56,2568
1.02,Ideal,G,VS1,61.1,56.0,6.51,6.54,3.99,7077
0.73,Very Good,D,SI1,63.1,57.0,5.74,5.7,3.61,2808
0.91,Ideal,G,SI2,61.8,56.0,6.21,6.24,3.85,3557
0.35,Ideal,H,SI1,62.3,57.0,4.55,4.5,2.82,630
0.32,Premium,G,VS2,62.3,60.0,4.4,4.37,2.73,720
0.43,Very Good,G,SI1,58.9,60.0,4.94,4.97,2.92,774
0.3,Ideal,F,VS1,61.5,55.0,4.35,4.33,2.67,754
0.82,Very Good,G,VS2,59.8,56.0,6.13,6.18,3.68,3535
1.01,Ideal,G,VS2,61.7,57.0,6.48,6.45,3.99,6104
1.11,Ideal,H,SI1,61.6,56.0,6.65,6.69,4.11,5358
0.7,Good,F,SI1,64.3,63.0,5.55,5.58,3.58,1955
1.02,Very Good,G,VS1,63.3,58.0,6.42,6.38,4.05,6861
0.7,Very Good,I,SI1,62.5,60.0,5.64,5.68,3.54,2039
0.3,Ideal,D,VS1,60.7,56.0,4.38,4.41,2.67,885
0.4,Premium,H,VS1,62.7,58.5,4.7,4.74,2.96,793
0.3,Premium,D,SI1,62.0,60.0,4.26,4.29,2.65,552
1.06,Premium,H,SI1,61.6,59.0,6.54,6.55,4.03,4785
0.6,Ideal,F,SI1,61.5,55.0,5.49,5.44,3.36,1580
1.22,Ideal,I,VS1,62.9,54.0,6.83,6.79,4.29,6887
1.02,Premium,D,VVS2,61.4,58.0,6.46,6.43,3.96,10773
0.52,Ideal,D,VS1,62.2,56.0,5.16,5.13,3.2,2296
0.27,Very Good,E,VVS2,63.0,56.0,4.12,4.14,2.6,622
0.57,Ideal,F,VS2,62.1,55.0,5.31,5.35,3.31,1637
0.31,Very Good,G,SI1,63.2,57.0,4.3,4.27,2.71,593
0.26,Very Good,D,VS1,63.3,57.0,4.03,4.06,2.56,420
0.26,Very Good,G,VVS2,62.3,56.0,4.07,4.09,2.54,486
1.01,Very Good,E,VS2,61.7,60.0,6.36,6.45,3.95,6265
1.0,Fair,D,SI2,64.5,54.0,6.34,6.28,4.07,4312
0.7,Ideal,E,SI2,61.0,56.0,5.78,5.72,3.51,2376
0.36,Ideal,H,IF,61.6,56.0,4.56,4.59,2.82,912
1.06,Ideal,E,VVS2,61.0,57.0,6.63,6.54,4.02,9712
0.42,Ideal,H,VS1,61.4,56.0,4.85,4.82,2.97,1087
1.03,Very Good,D,SI2,60.9,57.0,6.53,6.55,3.98,4545
0.3,Good,F,IF,64.3,53.0,4.22,4.27,2.73,780
0.71,Ideal,J,VS2,62.4,54.0,5.72,5.76,3.58,1899
0.32,Ideal,G,VVS2,61.6,55.0,4.42,4.41,2.72,936
0.36,Ideal,D,VS2,61.8,56.0,4.56,4.6,2.83,852
1.51,Ideal,J,VS1,61.9,58.0,7.28,7.33,4.52,8170
0.3,Ideal,G,VVS1,61.8,56.0,4.32,4.36,2.68,764
0.51,Premium,G,VS1,62.1,58.0,5.12,5.09,3.17,1662
1.02,Premium,H,SI1,60.5,60.0,6.58,6.51,3.96,4884
0.94,Very Good,H,SI2,62.7,61.0,6.21,6.24,3.9,3624
0.58,Good,G,SI1,63.5,56.0,5.28,5.34,3.37,1295
1.0,Premium,E,VS2,61.5,58.0,6.42,6.39,3.94,6720
1.11,Ideal,D,SI2,61.6,55.0,6.66,6.62,4.09,5648
0.71,Ideal,H,SI2,59.4,57.0,5.87,5.81,3.47,2258
0.33,Premium,H,IF,60.3,59.0,4.49,4.47,2.7,1114
0.42,Premium,D,SI2,60.1,58.0,4.88,4.83,2.92,898
0.91,Good,I,VS2,58.0,62.0,6.32,6.38,3.68,3747
0.75,Very Good,D,SI1,63.9,56.0,5.73,5.75,3.67,3085
0.5,Good,E,VS2,63.8,54.0,5.05,5.07,3.23,1752
1.54,Ideal,D,SI1,63.0,54.0,7.33,7.28,4.6,10694
0.7,Very Good,I,VS2,62.8,59.0,5.56,5.61,3.51,2202
1.04,Ideal,G,VVS2,62.5,55.0,6.53,6.47,4.06,8590
0.41,Ideal,F,VVS2,61.7,56.0,4.78,4.81,2.96,1115
0.31,Good,E,SI1,63.5,57.0,4.28,4.32,2.73,544
1.21,Ideal,H,SI1,61.8,55.0,6.82,6.86,4.23,6727
0.77,Premium,I,SI1,60.4,58.0,5.96,5.99,3.61,2089
0.57,Ideal,G,VS1,62.1,56.0,5.33,5.3,3.3,1949
1.01,Good,E,VS1,63.4,58.0,6.36,6.38,4.04,7234
0.3,Premium,F,VS2,61.8,60.0,4.3,4.27,2.65,673
0.42,Very Good,F,SI1,62.7,55.0,4.8,4.83,3.02,773
0.32,Premium,J,VS1,61.9,58.0,4.39,4.33,2.7,540
0.3,Fair,F,VS2,56.3,64.0,4.44,4.39,2.5,729
1.19,Very Good,H,VS2,61.1,58.0,6.81,6.83,4.17,6086
1.05,Very Good,H,SI1,63.1,60.0,6.49,6.42,4.07,4692
0.84,Very Good,G,SI2,62.8,57.0,6.0,6.04,3.78,3015
0.52,Ideal,F,VVS1,61.2,56.0,5.19,5.21,3.18,2841
0.5,Ideal,E,VS2,61.4,56.0,5.12,5.08,3.13,1629
0.9,Good,G,SI1,57.8,58.0,6.42,6.38,3.7,3931
1.0,Ideal,F,SI2,62.3,56.0,6.34,6.27,3.93,3696
1.01,Premium,E,SI1,62.8,58.0,6.38,6.33,3.99,5741
0.76,Ideal,I,SI1,61.9,56.0,5.85,5.88,3.63,2358
1.23,Ideal,J,VS2,61.5,57.0,6.9,6.95,4.26,5217
0.72,Premium,H,VS2,61.4,57.0,5.79,5.75,3.54,2484
0.79,Ideal,F,VVS2,61.9,57.0,5.93,5.96,3.68,4180
1.0,Good,G,SI1,61.9,61.0,6.36,6.4,3.95,4859
1.22,Ideal,H,VS2,61.3,56.0,6.85,6.88,4.21,8596
0.82,Ideal,J,VS2,61.6,56.0,6.0,6.04,3.71,2741
0.41,Premium,E,VS1,60.6,59.0,4.77,4.8,2.9,1079
1.05,Premium,G,SI2,61.7,56.0,6.57,6.53,4.04,4116
0.34,Ideal,D,VVS1,62.4,55.0,4.49,4.45,2.79,1211
0.29,Very Good,E,VVS1,59.5,61.0,4.29,4.31,2.56,609
0.32,Ideal,G,VS2,61.8,55.0,4.4,4.43,2.73,564
0.38,Premium,H,VS2,60.9,60.0,4.62,4.67,2.83,700
0.7,Very Good,F,VS1,61.8,56.0,5.63,5.7,3.5,2810
0.35,Ideal,D,SI2,61.8,57.0,4.53,4.57,2.81,522
0.25,Very Good,E,VVS2,60.9,59.0,4.03,4.11,2.48,575
0.31,Ideal,J,VS1,61.2,55.0,4.37,4.39,2.68,424
1.52,Premium,I,SI1,62.8,62.0,7.29,7.23,4.56,9295
0.3,Ideal,I,SI2,62.0,55.0,4.32,4.33,2.68,360
1.04,Ideal,F,SI1,62.1,56.0,6.54,6.47,4.04,4426
0.31,Ideal,E,VS2,61.7,55.0,4.33,4.36,2.68,680
0.43,Premium,F,VVS1,60.3,58.0,4.91,4.88,2.95,1422
1.01,Very Good,H,VS1,63.5,56.0,6.32,6.27,4.0,4412
0.4,Ideal,G,IF,61.2,56.0,4.76,4.81,2.93,1229
0.52,Ideal,G,VVS2,60.9,56.0,5.22,5.26,3.19,1858
1.9,Premium,J,SI1,61.9,57.0,7.98,7.95,4.93,10885
0.61,Ideal,H,SI1,61.9,54.0,5.44,5.48,3.38,1416
2.75,Premium,H,SI2,60.5,61.0,8.99,8.97,5.48,15415
0.51,Ideal,D,VS2,62.2,58.0,5.1,5.12,3.18,1678
0.31,Ideal,D,VS2,62.0,55.0,4.38,4.36,2.71,942
1.0,Ideal,H,VS2,62.4,57.0,6.42,6.36,3.99,4172
0.3,Ideal,D,SI1,61.3,57.0,4.34,4.37,2.67,670
0.58,Ideal,G,IF,60.9,57.0,5.39,5.46,3.3,2508
0.5,Ideal,E,SI1,60.6,59.0,5.13,5.16,3.12,1337
0.71,Premium,H,SI2,60.5,60.0,5.81,5.73,3.49,2224
0.41,Ideal,E,SI1,61.8,56.0,4.78,4.77,2.95,904
0.52,Very Good,D,VS2,60.6,56.0,5.22,5.25,3.17,1822
2.01,Good,E,SI2,60.0,64.0,8.17,8.09,4.88,16733
0.23,Very Good,F,VVS1,60.7,55.0,3.98,4.0,2.42,525
0.58,Fair,E,VS1,57.9,56.0,5.52,5.49,3.19,2192
0.34,Ideal,E,VS1,61.0,57.0,4.49,4.52,2.75,805
0.43,Very Good,E,VS2,62.8,56.0,4.79,4.86,3.03,981
0.38,Ideal,I,VVS2,62.6,54.0,4.62,4.65,2.9,766
1.22,Premium,G,VS2,61.8,58.0,6.84,6.91,4.25,8213
2.05,Premium,G,SI2,58.7,60.0,8.4,8.32,4.91,17988
1.01,Premium,E,VS1,62.9,61.0,6.39,6.33,4.0,7964
1.24,Ideal,J,VS2,62.3,56.0,6.84,6.91,4.28,5443
0.3,Very Good,G,VS1,61.7,57.0,4.28,4.32,2.65,620
1.13,Premium,G,VVS1,59.3,59.0,6.79,6.87,4.05,8709
1.74,Ideal,J,VS1,61.1,56.0,7.85,7.79,4.78,11194
1.01,Ideal,G,IF,62.8,57.0,6.42,6.39,4.02,8778
1.19,Very Good,E,SI1,58.0,63.0,6.9,6.97,4.02,5956
0.3,Premium,H,VS1,60.0,60.0,4.4,4.3,2.61,576
0.3,Premium,H,VVS2,60.8,58.0,4.37,4.34,2.65,776
0.9,Fair,F,VS2,58.9,67.0,6.18,6.17,3.64,3992
1.04,Ideal,I,SI1,63.0,56.0,6.49,6.39,4.06,4135
0.61,Ideal,H,IF,62.0,54.4,5.44,5.47,3.38,2438
1.2,Good,D,SI2,63.7,52.0,6.72,6.68,4.27,6344
0.5,Ideal,G,VVS1,62.7,57.0,5.1,5.07,3.19,2070
1.01,Ideal,G,VS2,61.9,56.0,6.42,6.46,3.99,6439
0.32,Ideal,E,VVS1,61.9,55.0,4.41,4.38,2.72,1020
0.73,Ideal,G,VVS1,61.6,56.0,5.76,5.79,3.56,3913
1.74,Ideal,E,SI2,62.3,57.0,7.8,7.7,4.83,10085
0.92,Premium,F,SI1,62.1,60.0,6.22,6.21,3.86,4420
1.21,Ideal,G,VS1,62.5,57.0,6.77,6.7,4.21,6025
0.71,Ideal,G,VVS1,61.4,59.0,5.7,5.76,3.52,3332
0.56,Good,F,SI1,63.2,56.0,5.24,5.29,3.33,1340
0.38,Ideal,F,VS1,60.9,55.0,4.69,4.73,2.87,891
1.09,Premium,G,SI1,62.5,59.0,6.56,6.53,4.09,4322
1.2,Premium,H,SI2,62.4,61.0,6.81,6.78,4.24,5040
2.11,Premium,G,SI2,59.1,59.0,8.33,8.4,4.94,15757
0.72,Ideal,G,SI2,61.7,56.0,5.76,5.71,3.54,2177
0.38,Good,D,VS2,64.1,55.0,4.58,4.62,2.95,809
0.32,Ideal,E,VVS1,62.5,56.0,4.38,4.42,2.75,814
0.9,Fair,D,SI2,66.9,57.0,6.02,5.9,3.99,2885
0.5,Premium,H,SI1,60.2,61.0,5.16,5.14,3.1,1141
0.71,Ideal,G,VS1,61.0,56.0,5.77,5.8,3.53,3251
0.32,Very Good,E,VS2,61.3,57.0,4.38,4.41,2.69,656
2.04,Good,H,SI1,58.4,60.0,8.31,8.36,4.87,18026
1.01,Good,G,VS2,63.2,64.0,6.34,6.28,3.99,5538
1.2,Ideal,I,IF,61.5,56.0,6.79,6.84,4.19,7367
0.31,Premium,H,VVS1,61.8,59.0,4.32,4.36,2.68,612
1.0,Premium,D,SI1,60.3,59.0,6.47,6.44,3.89,5880
1.04,Premium,D,SI2,62.4,56.0,6.5,6.45,4.04,5292
0.32,Very Good,D,SI2,62.8,57.0,4.35,4.38,2.74,477
0.6,Very Good,G,SI1,63.1,57.0,5.32,5.41,3.39,1565
0.5,Premium,F,SI1,62.5,59.0,5.03,4.99,3.13,1409
0.3,Premium,D,SI1,62.5,59.0,4.26,4.22,2.65,520
1.0,Good,F,VS2,62.1,61.0,6.31,6.38,3.94,6030
0.92,Good,E,SI1,63.7,57.0,6.11,6.14,3.9,4258
1.22,Ideal,F,SI2,61.7,54.9,6.84,6.9,4.24,6132
0.32,Ideal,E,IF,61.9,56.0,4.42,4.4,2.73,1170
0.79,Ideal,D,VS2,61.3,57.0,5.95,6.0,3.66,3818
0.61,Premium,E,SI1,60.1,59.0,5.51,5.48,3.3,1812
0.59,Ideal,E,VS2,60.2,59.0,5.47,5.49,3.3,1941
0.26,Very Good,G,VS2,61.7,57.0,4.11,4.15,2.55,423
2.22,Premium,I,SI1,59.9,59.0,8.46,8.41,5.05,18432
0.76,Ideal,H,SI1,61.7,56.0,5.87,5.84,3.61,2338
1.23,Ideal,J,SI2,63.2,58.0,6.82,6.74,4.29,5083
1.26,Premium,G,VVS2,62.7,58.0,6.95,6.86,4.33,10302
0.53,Premium,D,SI1,61.6,59.0,5.2,5.16,3.19,1753
1.26,Ideal,G,VVS2,60.9,57.0,6.98,7.01,4.26,10886
0.6,Ideal,E,VS2,61.2,56.0,5.45,5.44,3.33,2189
1.63,Very Good,E,VS2,61.8,58.0,7.49,7.57,4.65,13555
0.51,Ideal,F,VVS2,62.4,57.0,5.12,5.08,3.18,2203
0.3,Premium,F,SI2,62.2,58.0,4.33,4.22,2.66,506
